Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3500864,NCD_BMI_18A,REGION,SEAR,,,YEAR,2021,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,13.4 [12.3-14.5],13.40923,12.32003,14.51179,,2024-02-29T16:06:41Z,2021,01-01-2021,31-12-2021
3500879,NCD_BMI_18A,COUNTRY,PSE,EMR,Eastern Mediterranean,YEAR,2010,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.7 [1.2-2.3],1.66298,1.16546,2.29016,,2024-02-29T16:06:41Z,2010,01-01-2010,31-12-2010
3501033,NCD_BMI_18A,COUNTRY,DMA,AMR,Americas,YEAR,2022,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.9 [2.1-12.0],5.8525,2.0612,12.02643,,2024-02-29T16:06:41Z,2022,01-01-2022,31-12-2022
3502696,NCD_BMI_18A,COUNTRY,TKM,EUR,Europe,YEAR,1990,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.0 [1.6-7.6],4.01087,1.6227,7.61113,,2024-02-29T16:06:41Z,1990,01-01-1990,31-12-1990
3503395,NCD_BMI_18A,COUNTRY,URY,AMR,Americas,YEAR,2007,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,3.1 [2.1-4.4],3.12802,2.0593,4.44855,,2024-02-29T16:06:41Z,2007,01-01-2007,31-12-2007
3503853,NCD_BMI_18A,COUNTRY,HTI,AMR,Americas,YEAR,2001,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,15.0 [8.2-23.3],14.99766,8.20985,23.34747,,2024-02-29T16:06:41Z,2001,01-01-2001,31-12-2001
3503955,NCD_BMI_18A,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2015,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.0 [4.3-5.7],4.98755,4.2839,5.73448,,2024-02-29T16:06:41Z,2015,01-01-2015,31-12-2015
3503958,NCD_BMI_18A,COUNTRY,VCT,AMR,Americas,YEAR,2010,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.3 [3.0-5.9],4.31282,2.97391,5.91975,,2024-02-29T16:06:41Z,2010,01-01-2010,31-12-2010
3504207,NCD_BMI_18A,COUNTRY,NRU,WPR,Western Pacific,YEAR,2003,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,0.5 [0.3-0.8],0.47448,0.25575,0.81367,,2024-02-29T16:06:41Z,2003,01-01-2003,31-12-2003
3504919,NCD_BMI_18A,COUNTRY,PSE,EMR,Eastern Mediterranean,YEAR,1993,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.8 [1.0-3.0],1.82016,1.00842,2.95462,,2024-02-29T16:06:41Z,1993,01-01-1993,31-12-1993
3505919,NCD_BMI_18A,COUNTRY,VEN,AMR,Americas,YEAR,2016,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,3.7 [2.9-4.5],3.68648,2.93766,4.49523,,2024-02-29T16:06:41Z,2016,01-01-2016,31-12-2016
3505947,NCD_BMI_18A,COUNTRY,NAM,AFR,Africa,YEAR,1999,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,14.9 [12.1-18.0],14.94672,12.1063,17.98918,,2024-02-29T16:06:41Z,1999,01-01-1999,31-12-1999
3506379,NCD_BMI_18A,COUNTRY,LUX,EUR,Europe,YEAR,2006,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,0.9 [0.4-1.6],0.86694,0.35349,1.63269,,2024-02-29T16:06:41Z,2006,01-01-2006,31-12-2006
3507104,NCD_BMI_18A,COUNTRY,UKR,EUR,Europe,YEAR,1996,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.6 [0.5-3.5],1.62095,0.54151,3.48763,,2024-02-29T16:06:41Z,1996,01-01-1996,31-12-1996
3507642,NCD_BMI_18A,WORLDBANKINCOMEGROUP,WB_UMI,,,YEAR,2022,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.5 [4.0-5.1],4.50313,3.98457,5.0626,,2024-02-29T16:06:41Z,2022,01-01-2022,31-12-2022
3509011,NCD_BMI_18A,COUNTRY,PRY,AMR,Americas,YEAR,2002,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,3.4 [1.8-5.7],3.42767,1.77327,5.73278,,2024-02-29T16:06:41Z,2002,01-01-2002,31-12-2002
3509319,NCD_BMI_18A,COUNTRY,BOL,AMR,Americas,YEAR,1997,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,3.3 [1.9-5.2],3.29452,1.91578,5.20817,,2024-02-29T16:06:41Z,1997,01-01-1997,31-12-1997
3509751,NCD_BMI_18A,COUNTRY,IDN,SEAR,South-East Asia,YEAR,1997,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,18.7 [16.7-20.8],18.70391,16.67418,20.75344,,2024-02-29T16:06:41Z,1997,01-01-1997,31-12-1997
3509886,NCD_BMI_18A,COUNTRY,ARM,EUR,Europe,YEAR,1990,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.5 [2.5-7.1],4.4785,2.54004,7.09027,,2024-02-29T16:06:41Z,1990,01-01-1990,31-12-1990
3510409,NCD_BMI_18A,COUNTRY,MHL,WPR,Western Pacific,YEAR,2018,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.9 [1.2-2.7],1.86804,1.20547,2.70877,,2024-02-29T16:06:41Z,2018,01-01-2018,31-12-2018
3511930,NCD_BMI_18A,COUNTRY,AND,EUR,Europe,YEAR,1998,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,2.8 [1.6-4.2],2.76083,1.59931,4.23528,,2024-02-29T16:06:41Z,1998,01-01-1998,31-12-1998
3512021,NCD_BMI_18A,COUNTRY,IND,SEAR,South-East Asia,YEAR,2007,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,26.7 [24.9-28.3],26.67082,24.94552,28.33723,,2024-02-29T16:06:41Z,2007,01-01-2007,31-12-2007
3513021,NCD_BMI_18A,COUNTRY,MEX,AMR,Americas,YEAR,2020,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.4 [1.1-1.8],1.43901,1.08858,1.83316,,2024-02-29T16:06:41Z,2020,01-01-2020,31-12-2020
3513509,NCD_BMI_18A,COUNTRY,BRA,AMR,Americas,YEAR,2004,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,3.2 [2.6-3.9],3.21181,2.59036,3.8888,,2024-02-29T16:06:41Z,2004,01-01-2004,31-12-2004
3513955,NCD_BMI_18A,COUNTRY,SWE,EUR,Europe,YEAR,2017,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,0.7 [0.4-1.3],0.74294,0.35351,1.30201,,2024-02-29T16:06:41Z,2017,01-01-2017,31-12-2017
3514595,NCD_BMI_18A,COUNTRY,CZE,EUR,Europe,YEAR,1997,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.9 [1.5-2.3],1.88151,1.52642,2.29448,,2024-02-29T16:06:41Z,1997,01-01-1997,31-12-1997
3516457,NCD_BMI_18A,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2016,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,15.2 [11.3-19.3],15.15055,11.28401,19.31339,,2024-02-29T16:06:41Z,2016,01-01-2016,31-12-2016
